Order	Category	Name	Price	Mass	Tags	Motor	Motor Speed	Force	Power	Range
340	Display	Monitor 5X3	7500	60	"displays, video, composite, electric, on/off"					
341	Display	Monitor 9X5	20000	180	"displays, video, composite, electric, on/off"					
342	Display	Paintable Indicator	100	2	"displays, sign, basic, on/off, electric"					
343	Display	Paintable Sign	50	1	"displays, basic"					
344	Display	Speaker (Small)	250	1	"displays, audio, electric, on/off"					
345	Sensors	Altimeter	20	1	"sensors, aeroplanes, airplane, helicopter, number"					
346	Sensors	Angular Speed Sensor	20	1	"sensors, number"					
347	Sensors	Compass Sensor	20	1	"sensors, number, on/off, electric"					
348	Sensors	Contact Sensor	20	1	"sensors, on/off"					
349	Sensors	Distance Sensor	20	1	"sensors, laser, lazer, number, electric"					
350	Sensors	Fluid Meter	20	1	"sensors, number"					
351	Sensors	GPS Sensor	20	1	"sensors, number, electric"					
352	Sensors	Humidity Sensor	400	1	"sensors, number"					
353	Sensors	Impact Sensor	20	1	"sensors, on/off"					
354	Sensors	Laser Distance Sensor	100	1	"sensors, number, electric, on/off"					
355	Sensors	Laser Point Sensor	100	2	"sensors, electric, composite, number"					
356	Sensors	Laser Sensor (Missile)	800	5	"sensors, electric, on/off, composite, number"					
357	Sensors	Linear Speed Sensor	20	1	"sensors, number"					
358	Sensors	Microphone	250	1	"sensors, audio, electric, on/off"					
359	Sensors	Player Sensor	50	1	"sensors, number, on/off"					
360	Sensors	Radar (AWACS)	10000	1100	"sensors, electric, on/off, composite, number"					
361	Sensors	Radar (Basic)	1000	10	"sensors, electric, on/off, composite, number"					
362	Sensors	Radar (Dish)	5000	550	"sensors, electric, on/off, composite, number"					
363	Sensors	Radar (Missile)	800	5	"sensors, electric, on/off, composite, number"					
364	Sensors	Radar (Phalanx)	2000	55	"sensors, electric, on/off, composite, number"					
365	Sensors	Radar Detector	1000	1	"sensors, on/off"					
366	Sensors	Radiation Detector	250	1	"sensors, geiger, radiation, number"					
367	Sensors	Rain Sensor	180	1	"sensors, number"					
368	Sensors	Sonar (Large)	4000	200	"sensors, electric, on/off, composite"					
369	Sensors	Sonar (Large)(Deprecated)	1000	25	"sensors, number, on/off, electric"					
370	Sensors	Sonar (Medium)	2000	50	"sensors, electric, on/off, composite"					
371	Sensors	Sonar (Small)	1000	10	"sensors, electric, on/off, composite"					
372	Sensors	Sonar (Small)(Deprecated)	1000	10	"sensors, number, on/off, electric"					
373	Sensors	Temperature Probe	250	1	"sensors, number"					
374	Sensors	Tilt Sensor	20	1	"sensors, number"					
375	Sensors	Transponder Locator	20	1	"sensors, basic, mission, on/off, electric"					
376	Sensors	Wind Sensor	200	1	"sensors, number"					
377	Decorative	Large Tyre	20	12	decorative					
378	Decorative	Railing Segment Corner	30	2	decorative					
379	Decorative	Railing Segment Corner Diagonal	30	2	decorative					
380	Decorative	Railing Segment Curve	40	5	decorative					
381	Decorative	Railing Segment End	30	2	decorative					
382	Decorative	Railing Segment End Diagonal	30	2	decorative					
383	Decorative	Railing Segment End Incline	30	2	decorative					
384	Decorative	Railing Segment Extension	30	2	decorative					
385	Decorative	Railing Segment Extension Diagonal	30	2	decorative					
386	Decorative	Railing Segment Extension Incline	30	2	decorative					
387	Decorative	Railing Segment Incline	30	2	decorative					
388	Decorative	Railing Segment Middle	30	2	decorative					
389	Decorative	Railing Segment Middle Diagonal	30	2	decorative					
390	Decorative	small Tyre	15	4	decorative					
391	Fluid	Air Filter	50	1	"fluid, air"					
392	Fluid	Air Ram	50	1	"fluid, air"					
393	Fluid	Air Scoop Intake 1X1	30	1	fluid					
394	Fluid	Air-Air Heat Exchanger 2X2	30	4	"fluid, number"					
395	Fluid	Air-Air Heat Exchanger 2X5	70	10	"fluid, number"					
396	Fluid	Air-Air Heat Exchanger 3X9	100	27	"fluid, number"					
397	Fluid	Air-Liquid Heat Exchanger 1X2	15	2	"fluid, number"					
398	Fluid	Air-Liquid Heat Exchanger 5X2	30	7	"fluid, number"					
399	Fluid	Air-Liquid Heat Exchanger 5X3	50	45	"fluid, number"					
400	Fluid	Air-Liquid Heat Exchanger 9X3	80	81	"fluid, number"					
401	Fluid	Air-Liquid Heat Exchanger 9X5	150	225	"fluid, number"					
402	Fluid	Catalytic Converter	100	1	fluid					
403	Fluid	Desalinator	400	5	"fluid, basic"					
404	Fluid	Fluid Exhaust	100	1	"fluid, basic"					
405	Fluid	Fluid Filter	400	5	"fluid, basic"					
406	Fluid	Fluid Flow Value	100	4	"fluid, basic"					
407	Fluid	Fluid Heat Radiator	200	10	"fluid, basic"					
408	Fluid	Fluid Heat Radiator 3X3 (Electric)	400	10	"fluid, electric, on/off, number"					
409	Fluid	Fluid Heat Radiator 5X5 (Electric)	700	25	"fluid, electric, on/off, number"					
410	Fluid	Fluid Heat Sink	300	18	fluid					
411	Fluid	Fluid Intake	100	1	"fluid, air"					
412	Fluid	Fluid Jet	3000	10	"fluid, basic, power, number, electric"					
413	Fluid	Fluid On/Off Valve	100	4	"fluid, basic, on/off, electric"					
414	Fluid	Fluid On/Off Valve (Manual)	100	1	"fluid, basic"					
415	Fluid	Fluid Port	50	1	"fluid, air, basic"					
416	Fluid	Fluid Pressure Sensor	100	4	"fluid, number"					
417	Fluid	Fluid Pump	100	4	"fluid, basic, on/off, electric"					
418	Fluid	Fluid Pump (Manual)	100	4	"fluid, basic"					
419	Fluid	Fluid Slot Port	100	12	"fluid, basic"					
420	Fluid	Fluid Spawner	20	1	"fluid, basic"					
421	Fluid	Fluid Tank Large	20	22	"fluid, basic, number"					
422	Fluid	Fluid Tank Medium	20	6	"fluid, basic, number"					
423	Fluid	Fluid Tank Small	20	1	"fluid, basic, number"					
424	Fluid	Fluid Variable Value	100	4	"fluid, basic, number, electric"					
425	Fluid	Impeller Pump	50	9	"fluid, power"					
426	Fluid	Impeller Pump (Small)	40	1	"fluid, power"					
427	Fluid	Large Fluid Pump	200	10	"fluid, basic, on/off, electric"					
428	Fluid	Liquid-Liquid Heat Exchanger 2X2	30	4	"fluid, number"					
429	Fluid	Liquid-Liquid Hear Exchanger 5X5	50	16	"fluid, number"					
430	Fluid	Steam Whistle	50	4	"fluid, steam power, on/off"					
431	Electric	Electric Battery Large	10000	800	"electric, basic, number"					
432	Electric	Electric Battery Medium	1200	60	"electric, basic, number"					
433	Electric	Electric Battery Small	150	10	"electric, basic, number"					
434	Electric	Electric Charger	100	1	electric					
435	Electric	Electric Circuit Breaker	100	1	"electric, basic"					
436	Electric	Electirc Relay	100	1	"electirc, basic, on/off"					
437	Electric	Large Generator	12000	400	"electirc, basic, power, number"					
438	Electric	Medium Generator	2000	100	"electric, basic, power, number"					
439	Electric	Small Generator	600	5	"electirc, basic, power, number"					
440	Electric	solar Cell	400	2	"electirc, basic"					
441	Jet Engines	Jet Combustion Chamber	200	20	"jet engines, fluid, number"				1000	
442	Jet Engines	Jet Compressor	200	20	"jet engines, on/off, electric, number"				1000	
443	Jet Engines	Jet Duct Angle	50	5	jet engines				1000	
444	Jet Engines	Jet Duct Cross	50	5	jet engines				1000	
445	Jet Engines	Jet Duct Diagonal	50	5	jet engines				1000	
446	Jet Engines	Jet Duct Straight	30	3	jet engines				1000	
447	Jet Engines	Jet Duct T	50	5	jet engines				1000	
448	Jet Engines	Jet Exhaust	500	5	"jet engines, number"				1000	
449	Jet Engines	Jet Exhaust Afterburner	750	10	"jet engines, fluid, number, on/off"				1000	
450	Jet Engines	Jet Exhaust Rotating	800	10	"jet engines, number, electric"				1000	
451	Jet Engines	Jet Turbine Medium	200	20	"jet engines, power, number, electric"				1000	
452	Jet Engines	Jet Turbine Small	150	15	"jet engines, number, electric"				1000	
453	Jet Engines	Large Jet Intake	500	10	"jet engines, number"				1000	
454	Jet Engines	Small Jet Intake	250	5	"jet engines, number"				1000	
455	Weapons	Artillery Cannon	100	200	"weapons, weapon, cannon, artillery, on/off"					
456	Weapons	Artillery Cannon Barrel Extension	50	80	"weapons, weapon, cannon, artillery"					
457	Weapons	Artillery Cannon Barrel Extension (2)	50	80	"weapons, weapon, cannon, artillery"					
458	Weapons	Artillery Cannon Barrel Extension (3)	50	80	"weapons, weapon, cannon, artillery"					
459	Weapons	Artillery Cannon Barrel Extension (4)	50	80	"weapons, weapon, cannon, artillery"					
460	Weapons	Artillery Cannon Belt (Connector)	100	4	"weapons, weapon, cannon, belt, artillery, on/off"					
461	Weapons	Artillery Cannon Belt (Corner Inner)	100	15	"weapons, weapon, cannon, belt, artillery, on/off"					
462	Weapons	Artillery Cannon Belt (Corner Outer)	100	15	"weapons, weapon, cannon, belt, artillery, on/off"					
463	Weapons	Artillery Cannon Belt (Corner)	100	4	"weapons, weapon, cannon, belt, artillery, on/off"					
464	Weapons	Artillery Cannon Belt (Feeder)	100	5	"weapons, weapon, cannon, belt, artillery, on/off, electric"					
465	Weapons	Artillery Cannon Belt (Junction)	100	4	"weapons, weapon, cannon, belt, artillery, on/off"					
466	Weapons	Artillery Cannon Belt (Straight)	100	4	"weapons, weapon, cannon, belt, artillery, on/off"					
467	Weapons	Artillery Cannon Muzzle Brake	50	80	"weapons, weapon, cannon, artillery"					
468	Weapons	Artillery Cannon Muzzle Brake (2)	50	80	"weapons, weapon, cannon, artillery"					
469	Weapons	Artillery Cannon Muzzle Brake (3)	50	80	"weapons, weapon, cannon, artillery"					
470	Weapons	Autocannon Ammo Drum (Large)	100	40	"weapons, weapon, autocannon, belt, number"					
471	Weapons	Autocannon Ammo Drum (Medium)	100	20	"weapons, weapon, autocannon, belt, number"					
472	Weapons	Autocannon Ammo Drum (Small)	100	10	"weapons, weapon, autocannon, belt, number"					
473	Weapons	Autocannon Belt (Connector)	100	3	"weapons, weapon, autocannon, belt, on/off"					
474	Weapons	Autocannon Belt (Corner Flat)	100	9	"weapons, weapon, autocannon, belt, on/off"					
475	Weapons	Autocannon Belt (Corner)	100	3	"weapons, weapon, autocannon, belt, on/off"					
476	Weapons	Autocannon Belt (Feeder)	100	4	"weapons, weapon, autocannon, belt, on/off, electric"					
477	Weapons	Autocannon Belt (Junction)	100	3	"weapons, weapon, autocannon, belt, on/off"					
478	Weapons	Autocannon Belt (Straight)	100	3	"weapons, weapon, autocannon, belt, on/off"					
479	Weapons	Battle Cannon	100	100	"weapons, weapon, cannon, battle, on/off"					
480	Weapons	Battle Cannon Barrel Extension	50	40	"weapons, weapon, cannon, battle"					
481	Weapons	Battle Cannon Barrel Extension (2)	50	40	"weapons, weapon, cannon, battle"					
482	Weapons	Battle Cannon Barrel Extension (3)	50	40	"weapons, weapon, cannon, battle"					
483	Weapons	Battle Cannon Barrel Extension (4)	50	40	"weapons, weapon, cannon, battle"					
484	Weapons	Battle Cannon Belt (Connector)	100	3	"weapons, weapon, cannon, belt, battle, on/off"					
485	Weapons	Battle Cannon Belt (Corner Inner)	100	9	"weapons, weapon, cannon, belt, battle, on/off"					
486	Weapons	Battle Cannon Belt (Corner Outer)	100	9	"weapons, weapon, cannon, belt, battle, on/off"					
487	Weapons	Battle Cannon Belt (Corner)	100	3	"weapons, weapon, cannon, belt, battle, on/off"					
488	Weapons	Battle Cannon Belt (Feeder)	100	4	"weapons, weapon, cannon, belt, battle, on/off, electric"					
489	Weapons	Battle Cannon Belt (Junction)	100	3	"weapons, weapon, cannon, belt, battle, on/off"					
490	Weapons	Battle Cannon Belt (Straight)	100	3	"weapons, weapon, cannon, belt, battle, on/off"					
491	Weapons	Battle Cannon Muzzle Brake	50	40	"weapons, weapon, cannon, battle"					
492	Weapons	Battle Cannon Muzzle Brake (2)	50	40	"weapons, weapon, cannon, battle"					
493	Weapons	Battle Cannon Muzzle Brake (3)	50	40	"weapons, weapon, cannon, battle"					
494	Weapons	Bertha Cannon	100	500	"weapons, weapon, cannon, bertha, on/off"					
495	Weapons	Bertha Cannon Barrel Extension	50	200	"weapons,weapon, cannon, bertha"					
496	Weapons	Bertha Cannon Belt (Connector)	100	63	"weapons, weapon, cannon, belt, bertha, on/off"					
497	Weapons	Bertha Cannon Belt (Corner Inner)	100	138	"weapons, weapon, cannon, belt, bertha, on/off"					
498	Weapons	Bertha Cannon Belt (Corner Outer)	100	138	"weapons, weapon, cannon, belt, bertha, on/off"					
499	Weapons	Bertha Cannon Belt (Corner)	100	63	"weapons, weapon, cannon, belt, bertha, on/off"					
500	Weapons	Bertha Cannon Belt (Feeder)	100	90	"weapons, weapon, cannon, belt, bertha, on/off, electric"					
501	Weapons	Bertha Cannon Belt (Junction)	100	63	"weapons, weapon, cannon, belt, bertha, on/off"					
502	Weapons	Bertha Cannon Belt (Straight)	100	63	"weapons, weapon, cannon, belt, bertha, on/off"					
503	Weapons	Heavy Autocannon	100	50	"weapons, weapon, autocannon, on/off, electric"					
504	Weapons	Heavy Autocannon Barrel Extension	50	20	"weapons, weapon, autocannon"					
505	Weapons	Heavy Autocannon Barrel Extension (2)	50	20	"weapons, weapon, autocannon"					
506	Weapons	Heavy Autocannon Barrel Extension (3)	50	20	"weapons, weapon, autocannon"					
507	Weapons	Heavy Autocannon Barrel Extension (4)	50	20	"weapons, weapon, autocannon"					
508	Weapons	Heavy Autocannon Muzzel Brake	50	20	"weapons, weapon, autocannon"					
509	Weapons	Heavy Autocannon Muzzel Brake (2)	50	20	"weapons, weapon, autocannon"					
510	Weapons	Heavy Autocannon Muzzel Brake (3)	50	20	"weapons, weapon, autocannon"					
511	Weapons	Light Autocannon	100	25	"weapons, weapon, autocannon, on/off, electric"					
512	Weapons	Light Autocannon Barrel Extension	50	10	"weapons, weapon, autocannon"					
513	Weapons	Light Autocannon Muzzel Brake	50	3	"weapons, weapon, autocannon"					
514	Weapons	Light Autocannon Muzzel Brake (2)	50	3	"weapons, weapon, autocannon"					
515	Weapons	Light Autocannon Muzzel Brake (3)	50	3	"weapons, weapon, autocannon"					
516	Weapons	Light Autocannon Muzzel Brake (4)	50	3	"weapons, weapon, autocannon"					
517	Weapons	Machine Gun	50	10	"weapons, weapon, machinegun, on/off"					
518	Weapons	Machine Gun Ammo Box	20	5	"weapons, weapon, machinegun, belt, number"					
519	Weapons	Rocket Launcher	100	50	"weapons, weapon, explosive, on/off"					
520	Weapons	Rotary Autocannon	100	400	"weapons, weapon, autocannon, on/off, electric"					
521	Weapons	Rotary Autocannon Barrel Extension	50	40	"weapons, weapon, autocannon"					
522	Weapons	Warhead (EMP)	200	500	"weapons, explosive, on/off"					
523	Weapons	Warhead (Large)	100	400	"weapons, explosive, on/off"					
524	Weapons	Warhead (Medium)	50	80	"weapons, explosive, on/off"					
525	Weapons	Warhead (Small)	25	15	"weapons, explosive, on/off"					
526	Weapons	Warhead Body (Large)	100	400	"weapons, explosive, on/off"					
527	Weapons	Warhead Body (Medium)	50	80	"weapons, explosive, on/off"					
528	Weapons	Warhead Body (Small)	25	15	"weapons, explosive, on/off"					
529	Modular Engines	Modular Engine Air Manifold	10	1	"modular engines, number, fluid"					
530	Modular Engines	Modular Engine Alternator	30	1	"modular engines, number, electric"					
531	Modular Engines	Modular Engine Clutch 1X1	15	1	"modular engines, number, power"					
532	Modular Engines	Modular Engine Clutch 3X3	25	9	"modular engines, number, power"					
533	Modular Engines	Modular Engine Clutch 5X5	50	25	"modular engines, number, power"					
534	Modular Engines	Modular Engine Coolant Manifold	10	1	"modular engines, fluid"					
535	Modular Engines	Modular Engine Crankshaft 1X1	50	1	"modular engines, number"					
536	Modular Engines	Modular Engine Crankshaft 3X1	50	9	"modular engines, number"					
537	Modular Engines	Modular Engine Crankshaft 3X3	150	27	"modular engines, number"					
538	Modular Engines	Modular Engine Crankshaft 5X5	350	100	"modular engines, number"					
539	Modular Engines	Modular Engine Crankshaft Converter 3 To 1	75	9	"modular engines, number"					
540	Modular Engines	Modular Engine Crankshaft Converter 5 To 3	275	27	"modular engines, number"					
541	Modular Engines	Modular Engine Cylinder 1X1	50	1	"modular engines, composite"					
542	Modular Engines	Modular Engine Cylinder 3X3	35	27	"modular engines, composite"					
543	Modular Engines	Modular Engine Cylinder 5X5	75	100	"modular engines, composite"					
544	Modular Engines	Modular Engine Drive Belt 1X1	30	1	modular engines					
545	Modular Engines	Modular Engine Drive Belt 3X3	80	9	modular engines					
546	Modular Engines	Modular Engine Drive Belt 5X5	160	27	modular engines					
547	Modular Engines	Modular Engine Exhaust Manifold (Corner)	10	1	"modular engines, fluid"					
548	Modular Engines	Modular Engine Exhaust Manifold (Straight)	10	1	"modular engines, fluid"					
549	Modular Engines	Modular Engine Fluid Pump	50	1	"modular engines, number, fluid"					
550	Modular Engines	Modular Engine Flywheel 1X1	450	100	"modular engines, number"					
551	Modular Engines	Modular Engine Flywheel 3X3	650	200	"modular engines, number"					
552	Modular Engines	Modular Engine Flywheel 5X5	850	300	"modular engines, number"					
553	Modular Engines	Modular Engine Fuel Manifold	10	1	"modular engines, number, fluid"					
554	Modular Engines	Modular Engine Manifold (Corner)	10	1	modular engines					
555	Modular Engines	Modular Engine Manifold (Straight)	10	1	modular engines					
556	Modular Engines	Modular Engine Manifold (T)	10	1	modular engines					
557	Modular Engines	Modular Engine Starter	30	1	"modular engines, on/off, electric"					
558	Modular Engines	Modular Engine Temperature Sensor	50	1	"modular engines, number"					
559	Steam Power	Firebox	100	100	"steam power, steam, coal, number, on/off, fluid"					
560	Steam Power	Firebox Large	200	400	"steam power, steam, coal, number, on/off, fluid"					
561	Steam Power	Mineral Duct	50	80	"steam power, steam, coal, number"					
562	Steam Power	Mineral Duct Large	150	500	"steam power, steam, coal, number"					
563	Steam Power	Mineral Duct Medium	100	250	"steam power, steam, coal, number"					
564	Steam Power	Mineral Funnel	50	20	"steam power, steam, coal, number"					
565	Steam Power	Mineral Hopper	50	80	"steam power, steam, coal, number"					
566	Steam Power	Mineral Hopper Large	150	500	"steam power, steam, coal, number"					
567	Steam Power	Mineral Hopper Medium	100	250	"steam power, steam, coal, number"					
568	Steam Power	Nuclear Control Rod	250	100	"steam power, reactor, number"					
569	Steam Power	Nuclear Fuel Assembly	500	80	"steam power, reactor, on/off, number"					
570	Steam Power	Nuclear Fuel Rod	2500	80	"steam power, reactor"					
571	Steam Power	Steam Boiler	250	500	"steam power, fluid, number"					
572	Steam Power	Steam Condenser	250	250	"steam power, fluid, number"					
573	Steam Power	Steam Piston (Large)	2400	300	"steam power, power, fluid, number"					
574	Steam Power	Steam Piston (Medium)	600	120	"steam power, power, fluid, number"					
575	Steam Power	Steam Piston (Small)	90	12	"steam power, power, fluid, number"					
576	Steam Power	Steam Turbine	250	500	"steam power, fluid, power"					
577	Windows	Porthole	50	8	"windows, basic"					
578	Windows	Porthole Small	30	6	"windows, basic"					
579	Windows	Window 1X1	5	1	"windows, basic"					
580	Windows	Window 1X2	10	2	"windows, basic"					
581	Windows	Window 1X3	15	2	"windows, basic"					
582	Windows	Window 2X2	20	3	"windows, basic"					
583	Windows	Window 2X3	25	4	"windows, basic"					
584	Windows	Window 3X3	45	4	"windows, basic"					
585	Windows	Window Angle 1X1X1	5	1	"windows, basic"					
586	Windows	Window Angle 1X2X2	20	2	"windows, basic"					
587	Windows	Window Angle 1X3X3	45	2	"windows, basic"					
588	Windows	Window Angle 1X4X4	80	3	"windows, basic"					
589	Windows	Window Angle 2X1X1	10	1	"windows, basic"					
590	Windows	Window Angle 2X2X2	30	3	"windows, basic"					
591	Windows	Window Angle 2X3X3	10	4	"windows, basic"					
592	Windows	Window Angle 2X4X4	160	5	"windows, basic"					
593	Windows	Window Angle 3X1X1	15	2	"windows, basic"					
594	Windows	Window Angle 3X2X2	60	4	"windows, basic"					
595	Windows	Window Angle 3X3X3	135	5	"windows, basic"					
596	Windows	Window Angle 3X4X4	240	6	"windows, basic"					
597	Windows	Window Corner 2X3	30	2	"windows, basic"					
598	Windows	Window Corner 3X4	60	4	"windows, basic"					
599	Windows	Window Corner Full 1X1	5	1	"windows, basic"					
600	Windows	Window Corner Full 2X2	20	2	"windows, basic"					
601	Windows	Window Corner Full 3X3	45	4	"windows, basic"					
602	Windows	Window Corner Full 4X4	80	5	"windows, basic"					
603	Windows	Window Diamond 1X1X2	5	1	"windows, basic"					
604	Windows	Window Diamond 1X2X3	15	2	"windows, basic"					
605	Windows	Window Diamond 1X3X4	30	2	"windows, basic"					
606	Windows	Window Diamond 1X4X5	50	3	"windows, basic"					
607	Windows	Window Diamond 2X2X3	30	3	"windows, basic"					
608	Windows	Window Diamond 2X3X4	60	4	"windows, basic"					
609	Windows	Window Diamond 2X4X5	100	5	"windows, basic"					
610	Windows	Window Diamond 3X2X3	45	4	"windows, basic"					
611	Windows	Window Diamond 3X3X4	90	5	"windows, basic"					
612	Windows	Window Diamond 3X4X5	150	5	"windows, basic"					
613	Windows	Window Inverse Pyramid 1X1	5	1	"windows, basic"					
614	Windows	Window Inverse Pyramid 2X2X2	15	2	"windows, basic"					
615	Windows	Window Pyramid 1X1X1	5	1	"windows, basic"					
616	Windows	Window Pyramid 2X2X2	15	2	"windows, basic"					
617	Windows	Window Pyramid 3X3X3	135	4	"windows, basic"					
618	Microcontroller	(custom microcontroller)	135	3						
